line_number,error_type,description,suspected_cause,full_line,line_preview,full_line_length,actual_error,has_comma,has_quote,has_newline_in_field,file_name,file_path,llm,model_run,run,domain,shot
475,too_many_fields,Row has 35 columns but header expects 18 columns (17 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","Burton Menswear Limited,46420,20.8,15.5,45.2,33.6,52.7,45.3,36.5,63.5,40.8,59.2,53.1,46.9,66.2,33.8,500-999,2025-05-30 15:14:33 missoma Limited,46420,22.3,16.9,47.1,35.4,54.6,47.2,35.2,64.8,39.1,60.9,52.5,47.5,66.9,33.1,250-499,2025-05-31 08:56:47","Burton Menswear Limited,46420,20.8,15.5,45.2,33.6,52.7,45.3,36.5,63.5,40.8,59.2,53.1,46.9,66.2,33.8,",248,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_few_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/few/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_few_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,few
156,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","COSTA LIMITED,56102,9.7,6.4,28.5,15.2,31.8,34.2,44.5,55.5,40.2,59.8,52.1,47.9,65.8,34.2,5000-19,999,2024-12-03 14:45:12","COSTA LIMITED,56102,9.7,6.4,28.5,15.2,31.8,34.2,44.5,55.5,40.2,59.8,52.1,47.9,65.8,34.2,5000-19,999,",120,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
158,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","HOLLAND & BARRETT RETAIL LIMITED,47260,12.3,8.9,52.1,31.6,41.7,48.9,38.2,61.8,33.5,66.5,45.9,54.1,59.7,40.3,5000-19,999,2024-11-20 16:18:47","HOLLAND & BARRETT RETAIL LIMITED,47260,12.3,8.9,52.1,31.6,41.7,48.9,38.2,61.8,33.5,66.5,45.9,54.1,59",140,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
159,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","BARRATT DEVELOPMENTS PLC,41100,18.6,15.2,61.3,38.7,65.8,52.4,28.3,71.7,31.9,68.1,42.7,57.3,68.2,31.8,5000-19,999,2025-03-12 10:05:29","BARRATT DEVELOPMENTS PLC,41100,18.6,15.2,61.3,38.7,65.8,52.4,28.3,71.7,31.9,68.1,42.7,57.3,68.2,31.8",133,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
161,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","WILKO RETAIL LIMITED,47110,16.4,13.2,48.7,29.5,44.6,49.2,35.8,64.2,32.1,67.9,41.3,58.7,63.5,36.5,5000-19,999,2025-04-01 09:37:22","WILKO RETAIL LIMITED,47110,16.4,13.2,48.7,29.5,44.6,49.2,35.8,64.2,32.1,67.9,41.3,58.7,63.5,36.5,500",129,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
162,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","SPIRIT PUB COMPANY (UK) LIMITED,56302,11.8,9.3,35.2,19.8,36.4,39.7,46.2,53.8,42.8,57.2,53.5,46.5,64.9,35.1,5000-19,999,2024-12-15 15:20:18","SPIRIT PUB COMPANY (UK) LIMITED,56302,11.8,9.3,35.2,19.8,36.4,39.7,46.2,53.8,42.8,57.2,53.5,46.5,64.",139,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
164,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","KIER GROUP PLC,41100,19.7,16.8,58.9,36.4,62.3,55.7,29.4,70.6,33.8,66.2,44.1,55.9,69.5,30.5,5000-19,999,2024-11-05 08:48:33","KIER GROUP PLC,41100,19.7,16.8,58.9,36.4,62.3,55.7,29.4,70.6,33.8,66.2,44.1,55.9,69.5,30.5,5000-19,9",123,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
167,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","DOMINO'S PIZZA GROUP PLC,56103,13.2,10.1,41.8,24.3,42.1,45.6,39.7,60.3,36.4,63.6,47.2,52.8,61.3,38.7,5000-19,999,2025-03-28 14:28:19","DOMINO'S PIZZA GROUP PLC,56103,13.2,10.1,41.8,24.3,42.1,45.6,39.7,60.3,36.4,63.6,47.2,52.8,61.3,38.7",133,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
170,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","HALFORDS LIMITED,45320,14.7,11.9,43.5,26.8,43.7,48.2,37.2,62.8,40.1,59.9,46.8,53.2,62.5,37.5,5000-19,999,2024-11-12 10:38:26","HALFORDS LIMITED,45320,14.7,11.9,43.5,26.8,43.7,48.2,37.2,62.8,40.1,59.9,46.8,53.2,62.5,37.5,5000-19",125,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
171,too_many_fields,Row has 19 columns but header expects 18 columns (1 extra),"Likely due to LLM hallucination, where the model generates more fields than expected.","JD SPORTS FASHION PLC,14140,21.4,18.1,57.2,39.6,56.4,61.8,25.3,74.7,29.8,70.2,38.7,61.3,70.6,29.4,5000-19,999,2025-02-05 13:21:49","JD SPORTS FASHION PLC,14140,21.4,18.1,57.2,39.6,56.4,61.8,25.3,74.7,29.8,70.2,38.7,61.3,70.6,29.4,50",130,Line skipped in context (part of multi-line record or context-dependent error),True,False,True,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,data/generated/kimi-k2-instruct-0905-run1/employment/one/csv/kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one
