EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
BrightWave Energy Ltd,"06,08,09",11.7,12.3,24.5,26.1,78.2,65.4,58,42,62,38,68,32,72,28,250 to 499,2024-11-15
MapleBridge Financial,"64,65",7.2,5.8,15.3,14.7,71.9,68.3,52,48,55,45,59,41,63,37,500 to 999,2024-10-22
NorthPoint Logistics,"49,50",9.4,10.1,18.7,19.2,74.6,70.1,56,44,60,40,64,36,68,32,1000 to 4999,2025-01-08
CrestView Healthcare,86,14.8,16.2,29.3,31.5,68.4,58.7,34,66,38,62,42,58,48,52,5000 to 19,999
TitanTech Solutions,"62,63",18.5,19.7,35.8,38.2,82.1,74.3,72,28,75,25,79,21,84,16,250 to 499,2025-02-11
SilverLine Retail Group,"45,46,47",6.9,7.5,12.4,13.8,69.5,66.2,48,52,51,49,54,46,58,42,1000 to 4999,2024-09-30
RiverRock Construction,"41,42",13.2,14.6,25.7,27.9,76.3,68.9,62,38,65,35,69,31,73,27,250 to 499,2025-03-05
Aurora Media Studios,"58,59,60",10.8,11.4,21.6,22.3,73.7,69.8,54,46,57,43,61,39,66,34,500 to 999,2024-11-27
PinnacleCare Services,"87,88",12.5,13.9,24.1,26.7,70.2,63.5,44,56,47,53,51,49,55,45,5000 to 19,999
GreenField Foods,"10,11",8.3,9.1,16.8,18.4,71.8,67.4,50,50,53,47,57,43,61,39,1000 to 4999,2024-10-07
BlueRidge Banking,64,19.7,21.3,37.2,40.1,85.6,78.2,78,22,81,19,84,16,88,12,250 to 499,2025-01-20
Starlight Hospitality,"55,56",15.4,17.1,28.9,31.7,67.8,59.3,38,62,41,59,45,55,50,50,5000 to 19,999
QuantumLeap Pharma,21,16.9,18.5,32.4,35.6,79.5,72.8,68,32,71,29,75,25,80,20,500 to 999,2025-02-28
UrbanGrid Properties,68,11.6,12.8,22.3,24.5,74.1,68.7,58,42,61,39,65,35,70,30,250 to 499,2024-09-14
NovaEd Trust,85,9.2,10.5,18.9,20.7,72.3,67.1,52,48,55,45,59,41,64,36,1000 to 4999,2024-11-03
IronWorks Manufacturing,"25,28",14.1,15.7,27.2,29.8,75.9,69.4,60,40,63,37,67,33,72,28,500 to 999,2025-03-18
CrystalWave Telecom,61,17.3,18.9,33.7,36.4,81.2,74.6,70,30,73,27,77,23,82,18,250 to 499,2024-10-30
WillowBrook Care Homes,87,13.8,15.2,26.5,28.3,69.7,62.1,40,60,43,57,47,53,52,48,5000 to 19,999
Meridian Legal LLP,69,22.4,24.8,41.3,44.7,87.9,82.1,82,18,85,15,88,12,91,9,250 to 499,2025-01-25
Sunrise Supermarkets,47,7.8,8.6,15.1,16.9,70.6,66.8,49,51,52,48,56,44,60,40,5000 to 19,999
RedRock Renewable,35,10.5,11.7,20.4,22.1,73.2,68.5,54,46,57,43,61,39,66,34,500 to 999,2025-02-14
HarbourView Hotels,55,16.2,17.8,30.5,33.2,68.9,61.4,42,58,45,55,49,51,54,46,1000 to 4999,2024-08-07
CloudFirst IT,62,19.8,21.6,37.9,40.8,83.7,76.8,76,24,79,21,83,17,87,13,250 to 499,2024-12-05
OakTree Insurance,65,18.1,19.9,34.2,37.1,80.4,73.2,72,28,75,25,79,21,84,16,500 to 999,2025-01-30
RiverStone Textiles,"13,14",12.3,13.9,23.7,25.8,71.6,65.3,56,44,59,41,63,37,68,32,1000 to 4999,2024-10-14
PhoenixFire Security,80,14.7,16.1,28.4,30.2,76.8,70.1,64,36,67,33,71,29,75,25,250 to 499,2025-03-22
LunaPark Entertainment,"90,91",13.9,15.4,26.8,28.7,70.5,63.8,46,54,49,51,53,47,58,42,500 to 999,2024-09-05
MetroLink Rail,49,11.2,12.6,21.5,23.4,72.9,67.6,52,48,55,45,59,41,64,36,5000 to 19,999
BrightPath Academies,85,15.6,17.3,29.7,32.4,69.2,61.7,36,64,39,61,43,57,48,52,1000 to 4999,2025-02-03
GranitePeak Mining,"05,07",17.5,19.2,33.8,36.5,78.3,71.4,68,32,71,29,75,25,80,20,500 to 999,2024-10-21
BlueSky Airlines,51,20.3,22.1,38.7,41.6,84.2,77.5,78,22,81,19,85,15,89,11,250 to 499,2025-01-12
WillowCrest Homes,41,12.7,14.2,24.9,27.1,74.5,68.2,58,42,61,39,65,35,70,30,500 to 999,2024-12-08
PureFlow Water,36,9.8,11.1,19.2,21.3,71.4,66.7,50,50,53,47,57,43,62,38,1000 to 4999,2024-09-18
SilverFox Fashion,"14,46",8.4,9.2,16.5,18.1,70.1,66.4,48,52,51,49,55,45,59,41,5000 to 19,999
NorthStar Shipping,50,16.8,18.4,32.1,34.9,77.6,70.3,66,34,69,31,73,27,78,22,250 to 499,2025-03-10
GreenLeaf Biotech,21,14.5,16.0,27.9,30.1,76.2,69.5,62,38,65,35,69,31,74,26,500 to 999,2024-10-31
UrbanCore Developments,68,13.6,15.0,26.2,28.0,73.8,67.2,56,44,59,41,63,37,68,32,250 to 499,2025-01-05
BrightHorizon Care,87,10.9,12.3,21.0,23.2,69.8,64.1,42,58,45,55,49,51,54,46,5000 to 19,999
RedKite Capital,64,21.7,23.5,40.1,43.2,86.4,79.8,80,20,83,17,86,14,90,10,250 to 499,2025-02-20
MoonBeam Publishing,58,11.8,13.2,22.7,24.9,72.6,67.9,54,46,57,43,61,39,66,34,1000 to 4999,2024-11-08
StormPeak Energy,06,15.3,16.9,29.6,32.0,75.1,68.3,60,40,63,37,67,33,72,28,500 to 999,2024-09-22
WillowHaven Hotels,55,14.0,15.6,27.0,29.2,68.3,61.7,44,56,47,53,51,49,56,44,5000 to 19,999
QuantumCore IT,62,18.7,20.4,35.2,38.0,82.5,75.7,74,26,77,23,81,19,85,15,250 to 499,2025-01-18
MarbleArch Legal,69,23.1,25.6,42.8,46.2,88.7,83.4,84,16,87,13,90,10,93,7,250 to 499,2024-10-12
SunField Farms,"01,02",9.5,10.8,18.6,20.5,71.0,66.3,49,51,52,48,56,44,60,40,1000 to 4999,2024-11-30
CoastalWave Shipping,50,17.2,18.8,33.1,35.8,78.0,71.1,68,32,71,29,75,25,80,20,500 to 999,2025-03-01
ClearView Optics,32,12.9,14.5,25.1,27.6,73.3,66.8,56,44,59,41,63,37,68,32,500 to 999,2024-09-09
IronBridge Steel,"24,25",15.8,17.4,30.3,32.9,76.4,69.7,64,36,67,33,71,29,76,24,250 to 499,2024-12-18
