activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,35620,CA,6075.0,6075043010.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan originated,1,425000.0,85.0,6.875,2.25,0,8500,3500,2800,1500,500,360,0,0,2,2,2,2,425000,1,1,3,5,1,,120000.0,42.0,1,1,2,2,1,1,2,2,1,1,1,1,1,1,45-54,35-44,No,No,1,1
2024,41860,TX,9143.0,9143720200.0,FHA-insured:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan originated,1,310000.0,96.5,7.125,,0,9500,4200,3200,1800,700,360,0,0,2,2,2,2,321243,1,1,3,5,1,,78000.0,48.0,1,1,1,1,1,1,5,5,1,1,2,2,1,1,25-34,25-34,No,No,1,1
2024,38060,OH,3903.0,3903510010.0,VA-guaranteed:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,Loan originated,1,275000.0,100.0,6.625,,0,7200,2800,2200,1200,600,360,0,0,2,2,2,2,275000,1,1,3,5,1,,88000.0,38.0,1,1,2,2,1,1,3,3,1,1,1,1,1,1,35-44,9999,No,,1,1
2024,12060,AZ,4013.0,4013590120.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Application denied by financial institution,3,50000.0,,8.125,3.75,0,,,,,180,240,,2,2,2,2,2,285000,1,1,3,5,1,,95000.0,55.0,1,1111,2,5,1,4,5,8,1,4,1,5,1,4,45-54,9999,No,,1,1
2024,16980,NC,3710.0,3710355040.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,365000.0,80.0,7.0,2.0,0,7800,3100,2500,1300,400,360,0,0,2,2,2,2,456250,1,1,1,5,1,,105000.0,36.0,1,1,2,2,1,1,5,5,1,1,2,2,1,1,55-64,55-64,Yes,Yes,1,1
2024,19100,MI,2616.0,2616002340.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Loan originated,1,195000.0,90.0,7.375,2.5,0,6800,2900,2300,1100,300,360,0,0,2,2,2,2,216667,1,1,1,5,1,,62000.0,44.0,1,1,1,1,1,1,5,5,1,1,1,1,1,1,35-44,35-44,No,No,1,1
2024,26420,IL,1703.0,1703380020.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan originated,1,525000.0,75.0,6.75,1.75,0,11200,4800,3800,2000,800,360,0,0,2,2,2,2,700000,1,1,1,5,1,,185000.0,32.0,1,1,2,2,1,1,2,2,1,1,2,2,1,1,35-44,35-44,No,No,1,1
2024,33100,FL,1209.0,1209031500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Application withdrawn,1,290000.0,,7.25,2.25,0,,,,,500,,,2,2,2,2,2,386667,1,1,3,5,1,,115000.0,40.0,1,1111,2,5,1,4,5,8,1,4,1,5,1,4,45-54,25-34,No,No,2,1
2024,42660,WA,5303.0,5303670050.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,675000.0,70.0,6.5,1.5,0,13500,5500,4300,2200,900,360,0,0,2,2,2,2,964286,1,1,1,5,1,,220000.0,28.0,1,1,2,2,1,1,5,5,1,1,2,2,1,1,25-34,25-34,No,No,1,1
2024,19740,MO,2907.0,2907710010.0,FHA-insured:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,Loan originated,1,185000.0,96.5,7.0,,0,8200,3600,2800,1500,800,360,0,0,2,2,2,2,191709,1,1,1,5,1,,58000.0,50.0,1,1,2,2,1,1,3,3,1,1,1,1,1,1,25-34,9999,No,,1,1
