activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,14460,TX,141.0,1410001001.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,385000,85,7.125,2.75,2,8750,3500,2800,1500,0,360,,,2,2,2,2,,450000,1,1,3,5,1,,125,36,1,1,2,5,1,4,5,8,1,4,1,5,1,4,45-54,35-44,No,No,1,1
2024,16980,CA,37.0,37061002001.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,1,1,425000,96,6.75,1.5,2,12000,4500,3200,1800,500,360,,,2,2,2,2,,445000,1,1,3,5,1,,98,43,1,1,1,1,1,1,3,3,1,1,1,1,1,1,25-34,25-34,No,No,1,1
2024,19740,FL,105.0,10512000300.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,315000,92,6.5,1.25,2,6800,2800,2200,1000,0,360,,,2,2,2,2,,342000,1,1,3,5,1,,110,28,1,1,2,5,1,4,2,8,1,4,1,5,1,4,35-44,35-44,No,No,1,1
2024,17140,OH,49.0,49035010101.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,65000,15,8.25,4.5,3,3200,1800,1200,800,0,180,,,2,2,2,2,,433000,1,1,3,5,1,,88,19,1,1,2,5,1,4,5,8,1,4,1,5,1,4,55-64,45-54,Yes,No,1,1
2024,24300,WA,53.0,53033021002.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,2,1,510000,78,7.375,3.125,2,9500,4100,3100,1800,0,360,,,2,2,2,2,,654000,1,1,3,5,1,,135,41,3,3,4,4,3,3,7,7,3,3,4,4,3,3,35-44,35-44,No,No,1,1
2024,12060,GA,135.0,13501003200.0,USDA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,American Indian or Alaska Native,Female,1,1,195000,98,6.375,0.75,2,5500,2200,1700,800,300,360,,,2,2,2,2,,199000,1,1,3,5,1,,62,31,1,1,2,5,1,4,1,8,1,4,1,5,1,4,25-34,25-34,No,No,1,1
2024,35620,NY,81.0,81059010100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,625000,80,7.75,3.5,2,14200,5800,4200,2500,0,360,,,2,2,2,2,,781000,1,1,3,5,1,,156,38,1,1,1,5,1,4,5,8,1,4,1,5,1,4,45-54,35-44,No,No,1,1
2024,38060,NC,183.0,18363001101.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,1,275000,95,6.875,1.75,2,9800,3800,2800,1500,0,360,,,2,2,2,2,,290000,1,1,3,5,1,,78,44,1,1,2,5,1,4,3,8,1,4,1,5,1,4,35-44,25-34,No,No,1,1
2024,41860,MI,161.0,16163020900.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,340000,82,7.25,2.25,2,7800,3200,2400,1200,0,360,,,2,2,2,2,,415000,1,1,3,5,1,,105,29,1,1,2,5,1,4,2,8,1,4,1,5,1,4,45-54,45-54,No,No,1,1
2024,26420,AZ,13.0,13013010402.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,420000,88,6.625,1.0,2,7200,2900,2200,1000,0,360,,,2,2,2,2,,477000,1,1,3,5,1,,118,32,1,1,2,5,1,4,5,8,1,4,1,5,1,4,55-64,45-54,Yes,No,1,1
