llm,domain,shot,error_type,bad_rows_count,total_bad_rows_combo
kimi-k2-instruct-0905,employment,few,odd_number_of_symbols,2,5
kimi-k2-instruct-0905,employment,few,row_structure_error,2,5
kimi-k2-instruct-0905,employment,few,too_many_fields,1,5
kimi-k2-instruct-0905,employment,one,too_many_fields,35,35
kimi-k2-instruct-0905,employment,zero,too_many_fields,73,73
kimi-k2-instruct-0905,hatecrime,one,too_many_fields,5,5
kimi-k2-instruct-0905,lending,few,too_many_fields,980,980
kimi-k2-instruct-0905,lending,one,too_many_fields,23,23
kimi-k2-instruct-0905,lending,zero,too_many_fields,398,398
llama-3.1-8b-instruct,employment,few,odd_number_of_symbols,1,158
llama-3.1-8b-instruct,employment,few,row_structure_error,1,158
llama-3.1-8b-instruct,employment,few,too_many_fields,156,158
llama-3.1-8b-instruct,employment,one,odd_number_of_symbols,48,175
llama-3.1-8b-instruct,employment,one,too_many_fields,127,175
llama-3.1-8b-instruct,employment,zero,odd_number_of_symbols,12,365
llama-3.1-8b-instruct,employment,zero,row_structure_error,85,365
llama-3.1-8b-instruct,employment,zero,too_many_fields,268,365
llama-3.1-8b-instruct,hatecrime,few,odd_number_of_symbols,86,2173
llama-3.1-8b-instruct,hatecrime,few,row_structure_error,1724,2173
llama-3.1-8b-instruct,hatecrime,few,too_few_fields,10,2173
llama-3.1-8b-instruct,hatecrime,few,too_many_fields,353,2173
llama-3.1-8b-instruct,hatecrime,one,odd_number_of_symbols,60,1401
llama-3.1-8b-instruct,hatecrime,one,row_structure_error,661,1401
llama-3.1-8b-instruct,hatecrime,one,too_few_fields,209,1401
llama-3.1-8b-instruct,hatecrime,one,too_many_fields,471,1401
llama-3.1-8b-instruct,hatecrime,zero,empty_line,49,879
llama-3.1-8b-instruct,hatecrime,zero,odd_number_of_symbols,41,879
llama-3.1-8b-instruct,hatecrime,zero,row_structure_error,1,879
llama-3.1-8b-instruct,hatecrime,zero,too_many_fields,788,879
llama-3.1-8b-instruct,lending,few,empty_line,65,108
llama-3.1-8b-instruct,lending,few,too_many_fields,43,108
llama-3.1-8b-instruct,lending,one,empty_line,465,556
llama-3.1-8b-instruct,lending,one,too_many_fields,91,556
llama-3.1-8b-instruct,lending,zero,empty_line,326,365
llama-3.1-8b-instruct,lending,zero,too_many_fields,39,365
qwen3-coder-30b-a3b-instruct,hatecrime,few,too_many_fields,26,26
qwen3-coder-30b-a3b-instruct,hatecrime,one,empty_line,1,79
qwen3-coder-30b-a3b-instruct,hatecrime,one,too_many_fields,78,79
qwen3-coder-30b-a3b-instruct,hatecrime,zero,odd_number_of_symbols,59,129
qwen3-coder-30b-a3b-instruct,hatecrime,zero,too_few_fields,11,129
qwen3-coder-30b-a3b-instruct,hatecrime,zero,too_many_fields,59,129
qwen3-coder-30b-a3b-instruct,lending,few,too_many_fields,1329,1329
qwen3-coder-30b-a3b-instruct,lending,one,too_many_fields,1643,1643
qwen3-coder-30b-a3b-instruct,lending,zero,empty_line,1,1083
qwen3-coder-30b-a3b-instruct,lending,zero,too_many_fields,1082,1083
