llm,domain,run,shot,error_type,bad_rows_count,total_bad_rows_combo
kimi-k2-instruct-0905,employment,run1,few,too_many_fields,1,1
kimi-k2-instruct-0905,employment,run1,one,too_many_fields,35,35
kimi-k2-instruct-0905,employment,run1,zero,too_many_fields,35,35
kimi-k2-instruct-0905,employment,run2,zero,too_many_fields,28,28
kimi-k2-instruct-0905,employment,run3,few,odd_number_of_symbols,2,4
kimi-k2-instruct-0905,employment,run3,few,row_structure_error,2,4
kimi-k2-instruct-0905,employment,run3,zero,too_many_fields,10,10
kimi-k2-instruct-0905,hatecrime,run2,one,too_many_fields,5,5
kimi-k2-instruct-0905,lending,run1,few,too_many_fields,202,202
kimi-k2-instruct-0905,lending,run1,one,too_many_fields,20,20
kimi-k2-instruct-0905,lending,run2,few,too_many_fields,325,325
kimi-k2-instruct-0905,lending,run2,zero,too_many_fields,178,178
kimi-k2-instruct-0905,lending,run3,few,too_many_fields,453,453
kimi-k2-instruct-0905,lending,run3,one,too_many_fields,3,3
kimi-k2-instruct-0905,lending,run3,zero,too_many_fields,220,220
llama-3.1-8b-instruct,employment,run1,few,odd_number_of_symbols,1,63
llama-3.1-8b-instruct,employment,run1,few,row_structure_error,1,63
llama-3.1-8b-instruct,employment,run1,few,too_many_fields,61,63
llama-3.1-8b-instruct,employment,run1,one,too_many_fields,70,70
llama-3.1-8b-instruct,employment,run1,zero,odd_number_of_symbols,2,41
llama-3.1-8b-instruct,employment,run1,zero,too_many_fields,39,41
llama-3.1-8b-instruct,employment,run2,few,too_many_fields,41,41
llama-3.1-8b-instruct,employment,run2,one,too_many_fields,1,1
llama-3.1-8b-instruct,employment,run2,zero,odd_number_of_symbols,6,236
llama-3.1-8b-instruct,employment,run2,zero,row_structure_error,49,236
llama-3.1-8b-instruct,employment,run2,zero,too_many_fields,181,236
llama-3.1-8b-instruct,employment,run3,few,too_many_fields,54,54
llama-3.1-8b-instruct,employment,run3,one,odd_number_of_symbols,48,104
llama-3.1-8b-instruct,employment,run3,one,too_many_fields,56,104
llama-3.1-8b-instruct,employment,run3,zero,odd_number_of_symbols,4,88
llama-3.1-8b-instruct,employment,run3,zero,row_structure_error,36,88
llama-3.1-8b-instruct,employment,run3,zero,too_many_fields,48,88
llama-3.1-8b-instruct,hatecrime,run1,few,odd_number_of_symbols,24,679
llama-3.1-8b-instruct,hatecrime,run1,few,row_structure_error,462,679
llama-3.1-8b-instruct,hatecrime,run1,few,too_many_fields,193,679
llama-3.1-8b-instruct,hatecrime,run1,one,odd_number_of_symbols,18,439
llama-3.1-8b-instruct,hatecrime,run1,one,row_structure_error,227,439
llama-3.1-8b-instruct,hatecrime,run1,one,too_few_fields,54,439
llama-3.1-8b-instruct,hatecrime,run1,one,too_many_fields,140,439
llama-3.1-8b-instruct,hatecrime,run1,zero,too_many_fields,185,185
llama-3.1-8b-instruct,hatecrime,run2,few,odd_number_of_symbols,32,804
llama-3.1-8b-instruct,hatecrime,run2,few,row_structure_error,666,804
llama-3.1-8b-instruct,hatecrime,run2,few,too_few_fields,6,804
llama-3.1-8b-instruct,hatecrime,run2,few,too_many_fields,100,804
llama-3.1-8b-instruct,hatecrime,run2,one,odd_number_of_symbols,15,307
llama-3.1-8b-instruct,hatecrime,run2,one,row_structure_error,218,307
llama-3.1-8b-instruct,hatecrime,run2,one,too_many_fields,74,307
llama-3.1-8b-instruct,hatecrime,run2,zero,too_many_fields,300,300
llama-3.1-8b-instruct,hatecrime,run3,few,odd_number_of_symbols,30,690
llama-3.1-8b-instruct,hatecrime,run3,few,row_structure_error,596,690
llama-3.1-8b-instruct,hatecrime,run3,few,too_few_fields,4,690
llama-3.1-8b-instruct,hatecrime,run3,few,too_many_fields,60,690
llama-3.1-8b-instruct,hatecrime,run3,one,odd_number_of_symbols,27,655
llama-3.1-8b-instruct,hatecrime,run3,one,row_structure_error,216,655
llama-3.1-8b-instruct,hatecrime,run3,one,too_few_fields,155,655
llama-3.1-8b-instruct,hatecrime,run3,one,too_many_fields,257,655
llama-3.1-8b-instruct,hatecrime,run3,zero,empty_line,49,394
llama-3.1-8b-instruct,hatecrime,run3,zero,odd_number_of_symbols,41,394
llama-3.1-8b-instruct,hatecrime,run3,zero,row_structure_error,1,394
llama-3.1-8b-instruct,hatecrime,run3,zero,too_many_fields,303,394
llama-3.1-8b-instruct,lending,run1,few,empty_line,6,46
llama-3.1-8b-instruct,lending,run1,few,too_many_fields,40,46
llama-3.1-8b-instruct,lending,run1,one,empty_line,91,142
llama-3.1-8b-instruct,lending,run1,one,too_many_fields,51,142
llama-3.1-8b-instruct,lending,run1,zero,empty_line,45,84
llama-3.1-8b-instruct,lending,run1,zero,too_many_fields,39,84
llama-3.1-8b-instruct,lending,run2,few,empty_line,55,55
llama-3.1-8b-instruct,lending,run2,one,empty_line,289,289
llama-3.1-8b-instruct,lending,run2,zero,empty_line,141,141
llama-3.1-8b-instruct,lending,run3,few,empty_line,4,7
llama-3.1-8b-instruct,lending,run3,few,too_many_fields,3,7
llama-3.1-8b-instruct,lending,run3,one,empty_line,85,125
llama-3.1-8b-instruct,lending,run3,one,too_many_fields,40,125
llama-3.1-8b-instruct,lending,run3,zero,empty_line,140,140
qwen3-coder-30b-a3b-instruct,hatecrime,run1,few,too_many_fields,8,8
qwen3-coder-30b-a3b-instruct,hatecrime,run1,one,empty_line,1,43
qwen3-coder-30b-a3b-instruct,hatecrime,run1,one,too_many_fields,42,43
qwen3-coder-30b-a3b-instruct,hatecrime,run1,zero,too_many_fields,20,20
qwen3-coder-30b-a3b-instruct,hatecrime,run2,few,too_many_fields,2,2
qwen3-coder-30b-a3b-instruct,hatecrime,run2,one,too_many_fields,1,1
qwen3-coder-30b-a3b-instruct,hatecrime,run2,zero,too_many_fields,19,19
qwen3-coder-30b-a3b-instruct,hatecrime,run3,few,too_many_fields,16,16
qwen3-coder-30b-a3b-instruct,hatecrime,run3,one,too_many_fields,35,35
qwen3-coder-30b-a3b-instruct,hatecrime,run3,zero,odd_number_of_symbols,59,90
qwen3-coder-30b-a3b-instruct,hatecrime,run3,zero,too_few_fields,11,90
qwen3-coder-30b-a3b-instruct,hatecrime,run3,zero,too_many_fields,20,90
qwen3-coder-30b-a3b-instruct,lending,run1,few,too_many_fields,561,561
qwen3-coder-30b-a3b-instruct,lending,run1,one,too_many_fields,591,591
qwen3-coder-30b-a3b-instruct,lending,run1,zero,too_many_fields,497,497
qwen3-coder-30b-a3b-instruct,lending,run2,few,too_many_fields,384,384
qwen3-coder-30b-a3b-instruct,lending,run2,one,too_many_fields,542,542
qwen3-coder-30b-a3b-instruct,lending,run2,zero,empty_line,1,333
qwen3-coder-30b-a3b-instruct,lending,run2,zero,too_many_fields,332,333
qwen3-coder-30b-a3b-instruct,lending,run3,few,too_many_fields,384,384
qwen3-coder-30b-a3b-instruct,lending,run3,one,too_many_fields,510,510
qwen3-coder-30b-a3b-instruct,lending,run3,zero,too_many_fields,253,253
