activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,35620,NY,36061,36061001900,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,450000,80,7.25,1.5,1,12000,3500,6000,1500,500,360,0,0,2,2,2,2,562500,1,1,3,5,1,1,120000,35,1,1,1,2,1,1,5,5,1,1,1,1,1,1,45-54,35-44,No,No,1,1
2024,31080,CA,6073,6073010101,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,675000,85,6.5,0.8,1,15000,4200,7500,2000,800,360,0,0,2,2,2,2,794118,1,1,3,5,1,1,185000,28,1,3,2,4,1,1,2,2,1,3,1,1,1,3,35-44,25-34,No,No,1,1
2024,16980,TX,48113,48113001502,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,1,285000,92,7.75,1.2,1,8500,2500,4200,1000,300,360,0,0,2,2,2,2,309783,1,1,3,5,1,1,65000,42,1,1,2,2,1,1,3,3,1,1,1,1,1,1,25-34,25-34,No,No,1,1
2024,19100,IL,17031,17031000100,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Other,Male,1,1,125000,15,8.5,2.1,1,5500,1800,2800,800,200,180,0,0,2,2,2,2,833333,1,1,3,5,1,1,95000,38,1,1,1,1,1,1,6,6,1,1,1,1,1,1,55-64,45-54,Yes,No,1,1
2024,26420,FL,12011,12011000303,USDA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,195000,100,6.875,0.5,1,7200,2100,3600,900,400,360,0,0,2,2,2,2,195000,1,1,1,5,1,1,58000,31,1,3,2,4,1,1,5,7,1,3,1,1,1,3,35-44,45-54,No,Yes,1,1
2024,41860,OH,39017,39017000100,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,320000,75,7.125,1.1,1,9800,2800,5200,1300,600,360,0,0,2,2,2,2,426667,1,1,3,5,1,1,105000,33,3,3,4,4,3,3,7,7,3,3,3,3,3,3,8888,8888,,,1,1
2024,38060,WA,53033,53033002100,VA:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,1,85000,10,8.75,2.5,1,4200,1400,2100,600,150,180,0,0,2,2,2,2,850000,1,1,3,5,1,1,88000,29,1,1,2,2,1,1,4,4,1,1,1,1,1,1,45-54,35-44,No,No,1,1
2024,12060,AZ,4013,4013015002,FHA:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,American Indian or Alaska Native,Female,1,1,95000,25,9,2.8,1,4800,1600,2400,700,200,240,0,0,2,2,2,2,380000,1,1,3,5,1,1,52000,45,1,1,1,3,1,1,1,3,1,1,1,1,1,1,25-34,35-44,No,No,1,1
2024,14460,CO,8031,80310000210,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,525000,70,6.875,0.9,1,13500,3800,6800,1700,900,360,0,0,2,2,2,2,750000,1,1,3,5,1,1,155000,26,1,1,2,2,1,1,5,5,1,1,1,1,1,1,35-44,35-44,No,No,1,1
2024,33100,CA,6075,6075010101,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Female,1,1,780000,80,7.5,1.3,1,16500,4800,8200,2100,1100,360,0,0,2,2,2,2,975000,1,1,3,5,1,1,195000,32,1,3,1,2,1,3,2,5,1,3,1,1,1,3,45-54,35-44,No,No,1,1
2024,19820,MI,26163,26163000200,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,1,245000,88,6.625,0.7,1,7800,2200,3900,1000,500,360,0,0,2,2,2,2,278409,1,1,3,5,1,1,72000,36,1,1,2,2,1,1,3,3,1,1,1,1,1,1,35-44,25-34,No,No,1,1
2024,45220,OR,41051,41051000700,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,365000,90,7.375,1.4,1,10200,2900,4700,1200,600,360,0,0,2,2,2,2,405556,1,1,3,5,1,1,85000,40,1,1,2,2,1,1,5,5,1,1,1,1,1,1,25-34,25-34,No,No,1,1
2024,12540,NC,37183,37183000100,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,75000,12,9.25,3.1,1,3800,1300,1900,600,100,180,0,0,2,2,2,2,625000,1,1,3,5,1,1,78000,34,1,1,1,2,1,1,5,5,1,1,1,1,1,1,55-64,45-54,Yes,No,1,1
2024,42660,PA,42001,42001000100,USDA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,165000,100,6.75,0.4,1,6800,2000,3400,800,400,360,0,0,2,2,2,2,165000,1,1,1,5,1,1,48000,28,3,3,4,4,3,3,7,7,3,3,3,3,3,3,8888,8888,,,1,1
2024,22020,MA,25021,25021000200,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,625000,65,7.125,1.0,1,14800,4200,7400,1900,1000,360,0,0,2,2,2,2,961538,1,1,3,5,1,1,175000,24,1,1,2,2,1,1,2,2,1,1,1,1,1,1,35-44,35-44,No,No,1,1
2024,41180,NV,32003,32003000110,VA:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,1,115000,18,8.375,2.3,1,5200,1700,2600,750,250,240,0,0,2,2,2,2,638889,1,1,3,5,1,1,65000,38,1,3,1,2,1,3,5,5,1,3,1,1,1,3,45-54,35-44,No,No,1,1
2024,36740,TN,47037,47037000100,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,1,295000,95,7.625,1.6,1,8900,2600,4200,1100,400,360,0,0,2,2,2,2,310526,1,1,3,5,1,1,68000,43,1,1,2,2,1,1,3,3,1,1,1,1,1,1,25-34,25-34,No,No,1,1
2024,28140,GA,13089,13089000100,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,415000,78,7.375,1.2,1,11800,3400,5900,1500,700,360,0,0,2,2,2,2,532051,1,1,3,5,1,1,115000,30,1,1,2,2,1,1,5,5,1,1,1,1,1,1,35-44,45-54,No,Yes,1,1
2024,38060,WA,53061,53061000500,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,1,485000,82,6.875,0.8,1,12900,3600,6500,1600,850,360,0,0,2,2,2,2,591463,1,1,3,5,1,1,135000,27,1,3,1,4,1,3,4,7,1,3,1,1,1,3,45-54,35-44,No,No,1,1
2024,12060,AZ,4013,4013010001,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,American Indian or Alaska Native,Female,1,1,275000,85,6.375,0.6,1,7600,2100,3800,950,450,360,0,0,2,2,2,2,323529,1,1,3,5,1,1,75000,31,1,1,2,1,1,1,1,1,1,1,1,1,1,1,35-44,25-34,No,No,1,1
2024,14460,CO,8059,80590000200,FHA:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,135000,30,8.625,2.7,1,6100,2000,3000,900,250,240,0,0,2,2,2,2,450000,1,1,3,5,1,1,62000,41,3,3,4,4,3,3,7,7,3,3,3,3,3,3,8888,8888,,,1,1
2024,33100,CA,6071,6071010101,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,920000,75,7.75,1.5,1,18500,5400,9200,2400,1300,360,0,0,2,2,2,2,1226667,1,1,3,5,1,1,225000,23,1,1,2,2,1,1,2,2,1,1,1,1,1,1,45-54,35-44,No,No,1,1
2024,19820,MI,26125,26125000300,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,1,1,195000,82,8.125,1.8,1,6800,1900,3400,850,400,360,0,0,2,2,2,2,237805,1,1,3,5,1,1,58000,39,1,3,1,3,1,3,3,3,1,3,1,1,1,3,25-34,25-34,No,No,1,1
2024,45220,OR,41067,41067000200,USDA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,185000,100,6.5,0.3,1,7200,2100,3600,900,500,360,0,0,2,2,2,2,185000,1,1,1,5,1,1,52000,26,1,1,2,2,1,1,5,5,1,1,1,1,1,1,35-44,35-44,No,No,1,1
2024,12540,NC,37129,37129000100,VA:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,95000,15,9,2.9,1,4400,1500,2200,650,150,180,0,0,2,2,2,2,633333,1,1,3,5,1,1,68000,32,1,1,1,2,1,1,5,5,1,1,1,1,1,1,55-64,45-54,Yes,No,1,1
2024,42660,PA,42003,42003000100,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,395000,70,7.25,1.1,1,11200,3200,5600,1400,750,360,0,0,2,2,2,2,564286,1,1,3,5,1,1,125000,25,1,1,2,2,1,1,2,2,1,1,1,1,1,1,35-44,35-44,No,No,1,1
2024,22020,MA,25017,25017000400,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,545000,88,7.5,1.3,1,14200,4100,6800,1700,900,360,0,0,2,2,2,2,619318,1,1,3,5,1,1,145000,29,3,3,4,4,3,3,7,7,3,3,3,3,3,3,8888,8888,,,1,1
2024,41180,NV,32031,32031000200,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,355000,75,7.875,1.4,1,10100,2900,5100,1300,600,360,0,0,2,2,2,2,473333,1,1,3,5,1,1,110000,28,1,1,2,2,1,1,5,5,1,1,1,1,1,1,45-54,35-44,No,No,1,1
2024,36740,TN,47157,47157000100,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,1,1,65000,20,8.75,2.6,1,3500,1200,1700,500,100,180,0,0,2,2,2,2,325000,1,1,3,5,1,1,55000,36,1,3,1,3,1,3,3,3,1,3,1,1,1,3,45-54,35-44,No,No,1,1
2024,28140,GA,13135,13135000100,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,1,315000,82,6.75,0.9,1,8800,2500,4400,1100,550,360,0,0,2,2,2,2,384146,1,1,3,5,1,1,85000,30,1,1,2,4,1,1,4,4,1,1,1,1,1,1,35-44,25-34,No,No,1,1
