llm,domain,run,error_type,bad_rows_count,total_bad_rows_combo
kimi-k2-instruct-0905,employment,run1,too_many_fields,71,71
kimi-k2-instruct-0905,employment,run2,too_many_fields,28,28
kimi-k2-instruct-0905,employment,run3,odd_number_of_symbols,2,14
kimi-k2-instruct-0905,employment,run3,row_structure_error,2,14
kimi-k2-instruct-0905,employment,run3,too_many_fields,10,14
kimi-k2-instruct-0905,hatecrime,run2,too_many_fields,5,5
kimi-k2-instruct-0905,lending,run1,too_many_fields,222,222
kimi-k2-instruct-0905,lending,run2,too_many_fields,503,503
kimi-k2-instruct-0905,lending,run3,too_many_fields,676,676
llama-3.1-8b-instruct,employment,run1,odd_number_of_symbols,3,174
llama-3.1-8b-instruct,employment,run1,row_structure_error,1,174
llama-3.1-8b-instruct,employment,run1,too_many_fields,170,174
llama-3.1-8b-instruct,employment,run2,odd_number_of_symbols,6,278
llama-3.1-8b-instruct,employment,run2,row_structure_error,49,278
llama-3.1-8b-instruct,employment,run2,too_many_fields,223,278
llama-3.1-8b-instruct,employment,run3,odd_number_of_symbols,52,246
llama-3.1-8b-instruct,employment,run3,row_structure_error,36,246
llama-3.1-8b-instruct,employment,run3,too_many_fields,158,246
llama-3.1-8b-instruct,hatecrime,run1,odd_number_of_symbols,42,1303
llama-3.1-8b-instruct,hatecrime,run1,row_structure_error,689,1303
llama-3.1-8b-instruct,hatecrime,run1,too_few_fields,54,1303
llama-3.1-8b-instruct,hatecrime,run1,too_many_fields,518,1303
llama-3.1-8b-instruct,hatecrime,run2,odd_number_of_symbols,47,1411
llama-3.1-8b-instruct,hatecrime,run2,row_structure_error,884,1411
llama-3.1-8b-instruct,hatecrime,run2,too_few_fields,6,1411
llama-3.1-8b-instruct,hatecrime,run2,too_many_fields,474,1411
llama-3.1-8b-instruct,hatecrime,run3,empty_line,49,1739
llama-3.1-8b-instruct,hatecrime,run3,odd_number_of_symbols,98,1739
llama-3.1-8b-instruct,hatecrime,run3,row_structure_error,813,1739
llama-3.1-8b-instruct,hatecrime,run3,too_few_fields,159,1739
llama-3.1-8b-instruct,hatecrime,run3,too_many_fields,620,1739
llama-3.1-8b-instruct,lending,run1,empty_line,142,272
llama-3.1-8b-instruct,lending,run1,too_many_fields,130,272
llama-3.1-8b-instruct,lending,run2,empty_line,485,485
llama-3.1-8b-instruct,lending,run3,empty_line,229,272
llama-3.1-8b-instruct,lending,run3,too_many_fields,43,272
qwen3-coder-30b-a3b-instruct,hatecrime,run1,empty_line,1,71
qwen3-coder-30b-a3b-instruct,hatecrime,run1,too_many_fields,70,71
qwen3-coder-30b-a3b-instruct,hatecrime,run2,too_many_fields,22,22
qwen3-coder-30b-a3b-instruct,hatecrime,run3,odd_number_of_symbols,59,141
qwen3-coder-30b-a3b-instruct,hatecrime,run3,too_few_fields,11,141
qwen3-coder-30b-a3b-instruct,hatecrime,run3,too_many_fields,71,141
qwen3-coder-30b-a3b-instruct,lending,run1,too_many_fields,1649,1649
qwen3-coder-30b-a3b-instruct,lending,run2,empty_line,1,1259
qwen3-coder-30b-a3b-instruct,lending,run2,too_many_fields,1258,1259
qwen3-coder-30b-a3b-instruct,lending,run3,too_many_fields,1147,1147
