activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,35620,CA,37.0,06037222100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan originated,1,450000,0.85,6.75,2.1,0,8500,2500,3500,1500,500,360,0,0,2,2,2,2,425000,1,1,3,5,1,150000,0.38,1,1,2,5,2,4,2,7,2,4,1,5,2,4,35-44,25-34,No,No,1,1,
2024,31080,CA,71.0,06071432100.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan originated,1,380000,0.92,7.25,1.8,0,12000,3500,4500,2000,750,360,0,0,2,2,2,2,410000,1,1,3,5,1,85000,0.42,1,1,1,1,1,1,1,5,1,1,1,5,1,1,25-34,35-44,No,No,1,1,
2024,16980,TX,201.0,48453020612.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Application denied,1,285000,0.78,8.5,3.2,0,0,0,0,0,0,0,0,0,2,2,2,2,365000,1,1,3,5,1,75000,0.29,1,6,2,5,2,4,2,5,6,4,1,5,2,4,45-54,9999,No,9999,1,1,
2024,19100,FL,57.0,12057012400.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,Loan originated,1,325000,0.88,6.5,1.5,0,6500,1800,2800,1200,400,360,0,0,2,2,2,2,370000,1,1,3,5,1,95000,0.35,1,1,2,2,2,2,2,3,2,2,2,5,2,2,55-64,45-54,Yes,No,1,1,
2024,26420,IL,31.0,17031821700.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,File closed for incompleteness,32,50000,0.65,9.25,4.1,0,0,0,0,0,0,180,0,0,2,2,2,2,85000,1,1,3,5,1,65000,0.51,1,6,2,5,2,4,2,5,6,4,1,5,2,4,35-44,9999,No,9999,1,1,
2024,35620,CA,37.0,06037210100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Male,Loan originated,1,750000,0.8,7.0,2.5,0,15000,4500,6000,2500,1000,360,0,0,2,2,2,2,935000,1,1,3,5,1,180000,0.28,1,1,1,1,1,1,1,2,1,1,1,5,1,1,35-44,35-44,No,No,1,1,
2024,41860,WA,33.0,53033022000.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,620000,0.75,6.25,1.9,0,11000,3200,4400,1800,600,360,0,0,2,2,2,2,825000,1,1,3,5,1,145000,0.31,1,1,2,5,2,4,2,5,2,4,1,5,2,4,45-54,45-54,No,No,1,1,
2024,38060,TX,113.0,48113020801.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Loan originated,1,275000,0.95,7.5,2.0,0,9500,2800,3600,1500,500,360,0,0,2,2,2,2,290000,1,1,3,5,1,65000,0.45,1,1,1,1,1,1,1,5,1,1,1,5,1,1,25-34,25-34,No,No,1,1,
2024,12060,AZ,13.0,04013081400.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,American Indian or Alaska Native,Female,Application withdrawn,1,420000,0.82,7.75,2.8,0,0,0,0,0,0,0,0,0,2,2,2,2,510000,1,1,3,5,1,110000,0.33,1,6,2,5,2,4,2,5,6,4,1,5,2,4,35-44,9999,No,9999,1,1,
2024,14460,CO,59.0,08059011200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,485000,0.85,6.9,2.3,0,8800,2600,3600,1600,550,360,0,0,2,2,2,2,570000,1,1,3,5,1,105000,0.36,1,1,2,5,2,4,2,5,2,4,1,5,2,4,45-54,35-44,No,No,1,1,
2024,19740,GA,135.0,13051020100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,Loan originated,1,340000,0.9,7.1,2.4,0,7200,2100,3000,1300,450,360,0,0,2,2,2,2,380000,1,1,3,5,1,85000,0.4,1,1,2,2,2,2,2,3,2,2,2,5,2,2,35-44,25-34,No,No,1,1,
2024,35620,CA,37.0,06037000400.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Loan originated,31,95000,0.45,8.25,3.5,0,4500,1200,1800,800,200,240,0,0,2,2,2,2,210000,1,1,3,5,1,75000,0.52,1,1,1,1,1,1,1,5,1,1,1,5,1,1,35-44,35-44,No,No,1,1,
2024,33100,NC,63.0,37183010700.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Application denied,1,290000,0.88,8.75,3.8,0,0,0,0,0,0,0,0,0,2,2,2,2,330000,1,1,3,5,1,70000,0.48,1,6,2,5,2,4,2,5,6,4,1,5,2,4,25-34,9999,No,9999,1,1,
2024,42650,WI,79.0,55079030100.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,235000,0.93,7.0,1.7,0,7800,2200,2900,1200,400,360,0,0,2,2,2,2,252000,1,1,3,5,1,58000,0.41,1,1,2,5,2,4,2,5,2,4,1,5,2,4,35-44,35-44,No,No,1,1,
2024,38900,TN,165.0,47065011200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,365000,0.78,6.8,2.0,0,8200,2400,3400,1500,500,360,0,0,2,2,2,2,465000,1,1,3,5,1,95000,0.3,1,1,2,5,2,4,2,5,2,4,1,5,2,4,45-54,45-54,No,No,1,1,
2024,22020,HI,3.0,15003021400.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan originated,1,850000,0.7,5.75,1.2,0,18000,5200,7200,3000,1200,360,0,0,2,2,2,2,1200000,1,1,3,5,1,220000,0.25,1,1,2,2,2,2,2,1,2,2,2,5,2,2,45-54,35-44,No,No,1,1,
2024,41180,UT,35.0,49035010800.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Application approved but not accepted,1,425000,0.8,7.5,2.6,0,0,0,0,0,0,0,0,0,2,2,2,2,530000,1,1,3,5,1,115000,0.32,1,6,2,5,2,4,2,5,6,4,1,5,2,4,35-44,25-34,No,No,1,1,
2024,24300,GA,135.0,13057020100.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,Loan originated,1,295000,0.92,6.75,1.4,0,6800,1900,2600,1100,350,360,0,0,2,2,2,2,320000,1,1,3,5,1,78000,0.37,1,1,2,2,2,2,2,3,2,2,2,5,2,2,25-34,35-44,No,No,1,1,
2024,35620,CA,37.0,06037281500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Loan originated,1,580000,0.75,7.25,2.7,0,12500,3600,5000,2200,800,360,0,0,2,2,2,2,770000,1,1,3,5,1,140000,0.29,1,1,1,1,1,1,1,5,1,1,1,5,1,1,35-44,35-44,No,No,1,1,
2024,17460,FL,57.0,12057030800.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,410000,0.83,7.0,2.2,0,9200,2700,3800,1700,600,360,0,0,2,2,2,2,495000,1,1,3,5,1,105000,0.34,1,1,2,5,2,4,2,5,2,4,1,5,2,4,45-54,45-54,No,No,1,1,
2024,38060,TX,113.0,48113011200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Application denied,1,310000,0.85,8.25,3.4,0,0,0,0,0,0,0,0,0,2,2,2,2,365000,1,1,3,5,1,80000,0.44,1,6,1,1,1,1,1,5,6,1,1,5,6,1,25-34,9999,No,9999,1,1,
2024,33460,OH,35.0,39035080100.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,Loan originated,1,195000,0.96,7.75,2.1,0,6800,1900,2500,1000,300,360,0,0,2,2,2,2,205000,1,1,3,5,1,48000,0.46,1,1,2,2,2,2,2,3,2,2,2,5,2,2,35-44,25-34,No,No,1,1,
