model,model_run,run_num,domain,shot_type,file_name,total_lines_in_file,total_data_rows,pandas_readable_rows,pandas_skipped_rows,total_rows_lost
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,zero,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_zero_csv.csv,1044,1043,1008,35,35
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,one,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_one_csv.csv,1027,1026,991,35,35
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,employment,few,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_employment_few_csv.csv,1033,1032,1031,1,1
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,hatecrime,zero,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_hatecrime_zero_csv.csv,1043,1042,1042,0,0
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,hatecrime,one,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_hatecrime_one_csv.csv,1001,1000,1000,0,0
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,hatecrime,few,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_hatecrime_few_csv.csv,1005,1004,1004,0,0
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,lending,zero,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_lending_zero_csv.csv,1041,1040,1040,0,0
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,lending,one,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_lending_one_csv.csv,1032,1031,1011,20,20
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run1,1,lending,few,kimi-k2-instruct-0905-run1-raw_finals_of_all_chunks_lending_few_csv.csv,1037,1036,834,202,202
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run2,2,employment,zero,kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_employment_zero_csv.csv,1045,1044,1016,28,28
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run2,2,employment,one,kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_employment_one_csv.csv,1043,1042,1042,0,0
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run2,2,employment,few,kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_employment_few_csv.csv,1004,1003,1003,0,0
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run2,2,hatecrime,zero,kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_hatecrime_zero_csv.csv,1027,1026,1026,0,0
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run2,2,hatecrime,one,kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_hatecrime_one_csv.csv,1004,1003,998,5,5
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run2,2,hatecrime,few,kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_hatecrime_few_csv.csv,1008,1007,1007,0,0
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run2,2,lending,zero,kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_lending_zero_csv.csv,1042,1041,863,178,178
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run2,2,lending,one,kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_lending_one_csv.csv,1031,1030,1030,0,0
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run2,2,lending,few,kimi-k2-instruct-0905-run2-raw_finals_of_all_chunks_lending_few_csv.csv,1030,1029,704,325,325
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run3,3,employment,zero,kimi-k2-instruct-0905-run3-raw_finals_of_all_chunks_employment_zero_csv.csv,1004,1003,993,10,10
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run3,3,employment,one,kimi-k2-instruct-0905-run3-raw_finals_of_all_chunks_employment_one_csv.csv,1045,1044,1044,0,0
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run3,3,employment,few,kimi-k2-instruct-0905-run3-raw_finals_of_all_chunks_employment_few_csv.csv,1049,1048,1044,4,4
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run3,3,hatecrime,zero,kimi-k2-instruct-0905-run3-raw_finals_of_all_chunks_hatecrime_zero_csv.csv,1040,1039,1039,0,0
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run3,3,hatecrime,one,kimi-k2-instruct-0905-run3-raw_finals_of_all_chunks_hatecrime_one_csv.csv,1048,1047,1047,0,0
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run3,3,hatecrime,few,kimi-k2-instruct-0905-run3-raw_finals_of_all_chunks_hatecrime_few_csv.csv,1013,1012,1012,0,0
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run3,3,lending,zero,kimi-k2-instruct-0905-run3-raw_finals_of_all_chunks_lending_zero_csv.csv,1051,1050,830,220,220
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run3,3,lending,one,kimi-k2-instruct-0905-run3-raw_finals_of_all_chunks_lending_one_csv.csv,1018,1017,1014,3,3
kimi-k2-instruct-0905,kimi-k2-instruct-0905-run3,3,lending,few,kimi-k2-instruct-0905-run3-raw_finals_of_all_chunks_lending_few_csv.csv,1035,1034,581,453,453
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run1,1,employment,zero,llama-3.1-8b-instruct-run1-raw_finals_of_all_chunks_employment_zero_csv.csv,1028,1027,986,41,41
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run1,1,employment,one,llama-3.1-8b-instruct-run1-raw_finals_of_all_chunks_employment_one_csv.csv,1010,1009,939,70,70
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run1,1,employment,few,llama-3.1-8b-instruct-run1-raw_finals_of_all_chunks_employment_few_csv.csv,1019,1018,955,63,63
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run1,1,hatecrime,zero,llama-3.1-8b-instruct-run1-raw_finals_of_all_chunks_hatecrime_zero_csv.csv,1016,1015,830,185,185
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run1,1,hatecrime,one,llama-3.1-8b-instruct-run1-raw_finals_of_all_chunks_hatecrime_one_csv.csv,1009,1008,569,439,439
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run1,1,hatecrime,few,llama-3.1-8b-instruct-run1-raw_finals_of_all_chunks_hatecrime_few_csv.csv,1121,1120,441,679,679
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run1,1,lending,zero,llama-3.1-8b-instruct-run1-raw_finals_of_all_chunks_lending_zero_csv.csv,1049,1048,964,84,84
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run1,1,lending,one,llama-3.1-8b-instruct-run1-raw_finals_of_all_chunks_lending_one_csv.csv,1110,1109,967,142,142
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run1,1,lending,few,llama-3.1-8b-instruct-run1-raw_finals_of_all_chunks_lending_few_csv.csv,1031,1030,984,46,46
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run2,2,employment,zero,llama-3.1-8b-instruct-run2-raw_finals_of_all_chunks_employment_zero_csv.csv,1028,1027,791,236,236
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run2,2,employment,one,llama-3.1-8b-instruct-run2-raw_finals_of_all_chunks_employment_one_csv.csv,1013,1012,1011,1,1
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run2,2,employment,few,llama-3.1-8b-instruct-run2-raw_finals_of_all_chunks_employment_few_csv.csv,1003,1002,961,41,41
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run2,2,hatecrime,zero,llama-3.1-8b-instruct-run2-raw_finals_of_all_chunks_hatecrime_zero_csv.csv,1050,1049,749,300,300
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run2,2,hatecrime,one,llama-3.1-8b-instruct-run2-raw_finals_of_all_chunks_hatecrime_one_csv.csv,1041,1040,733,307,307
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run2,2,hatecrime,few,llama-3.1-8b-instruct-run2-raw_finals_of_all_chunks_hatecrime_few_csv.csv,1042,1041,237,804,804
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run2,2,lending,zero,llama-3.1-8b-instruct-run2-raw_finals_of_all_chunks_lending_zero_csv.csv,1153,1152,1011,141,141
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run2,2,lending,one,llama-3.1-8b-instruct-run2-raw_finals_of_all_chunks_lending_one_csv.csv,1303,1302,1013,289,289
llama-3.1-8b-instruct,llama-3.1-8b-instruct-run2,2,lending,few,llama-3.1-8b-instruct-run2-raw_finals_of_all_chunks_lending_few_csv.csv,1090,1089,1034,55,55
