llm,run,error_type,bad_rows_count,total_bad_rows_llm_run,total_bad_rows_llm
kimi-k2-instruct-0905,run1,too_many_fields,293,293,1519
kimi-k2-instruct-0905,run2,too_many_fields,536,536,1519
kimi-k2-instruct-0905,run3,odd_number_of_symbols,2,690,1519
kimi-k2-instruct-0905,run3,row_structure_error,2,690,1519
kimi-k2-instruct-0905,run3,too_many_fields,686,690,1519
llama-3.1-8b-instruct,run1,empty_line,142,1749,6180
llama-3.1-8b-instruct,run1,odd_number_of_symbols,45,1749,6180
llama-3.1-8b-instruct,run1,row_structure_error,690,1749,6180
llama-3.1-8b-instruct,run1,too_few_fields,54,1749,6180
llama-3.1-8b-instruct,run1,too_many_fields,818,1749,6180
llama-3.1-8b-instruct,run2,empty_line,485,2174,6180
llama-3.1-8b-instruct,run2,odd_number_of_symbols,53,2174,6180
llama-3.1-8b-instruct,run2,row_structure_error,933,2174,6180
llama-3.1-8b-instruct,run2,too_few_fields,6,2174,6180
llama-3.1-8b-instruct,run2,too_many_fields,697,2174,6180
llama-3.1-8b-instruct,run3,empty_line,278,2257,6180
llama-3.1-8b-instruct,run3,odd_number_of_symbols,150,2257,6180
llama-3.1-8b-instruct,run3,row_structure_error,849,2257,6180
llama-3.1-8b-instruct,run3,too_few_fields,159,2257,6180
llama-3.1-8b-instruct,run3,too_many_fields,821,2257,6180
qwen3-coder-30b-a3b-instruct,run1,empty_line,1,1720,4289
qwen3-coder-30b-a3b-instruct,run1,too_many_fields,1719,1720,4289
qwen3-coder-30b-a3b-instruct,run2,empty_line,1,1281,4289
qwen3-coder-30b-a3b-instruct,run2,too_many_fields,1280,1281,4289
qwen3-coder-30b-a3b-instruct,run3,odd_number_of_symbols,59,1288,4289
qwen3-coder-30b-a3b-instruct,run3,too_few_fields,11,1288,4289
qwen3-coder-30b-a3b-instruct,run3,too_many_fields,1218,1288,4289
