activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,"New York-Newark-Jersey City, NY-NJ-PA",NY,061,48001000200,Purchase,Single-Family,Hispanic or Latino,White,Female,Approved,Home Purchase,500000,70,7.25,2.25,No HOPE Loan,538000,12000,5000,0,0,360,15,12,No,No,No,0,100000,Site-Built,Occasionally Occupied,Manufactured Home,Manufactured Home,1,0,70000,50,1.5,FICO,FICO,Hispanic or Latino,Hispanic or Latino,Female,Female,Female,Female,44,44,0,0,Online,Borrower,,,,,
2024,"Los Angeles-Long Beach-Anaheim, CA",CA,081,48001000200,Refinance,Single-Family,Asian,Native Hawaiian or Other Pacific Islander,Male,Approved,Refinance,350000,80,7.5,2.5,No HOPE Loan,420000,8000,3000,0,0,360,12,12,Yes,Yes,Yes,0,150000,Site-Built,Occasionally Occupied,Manufactured Home,Manufactured Home,1,0,80000,30,1.5,FICO,FICO,Asian,Asian,Male,Male,Male,Male,61,61,0,0,Mail,Lender,,,,,
2024,"Chicago-Naperville-Elgin, IL-IN-WI",IL,113,48001000200,Purchase,Single-Family,White,White,Female,Approved,Home Purchase,600000,75,7.75,3.25,No HOPE Loan,648000,18000,6000,0,0,360,15,12,No,No,No,0,120000,Site-Built,Occasionally Occupied,Manufactured Home,Manufactured Home,1,0,90000,40,1.5,FICO,FICO,White,White,Female,Female,Female,Female,55,55,0,0,In-Person,Borrower,,,,,
2024,"Houston-The Woodlands-Sugar Land, TX",TX,061,48001000200,Refinance,Single-Family,Black or African American,Black or African American,Male,Approved,Refinance,450000,85,7.5,2.5,No HOPE Loan,504000,12000,4000,0,0,360,12,12,Yes,Yes,Yes,0,180000,Site-Built,Occasionally Occupied,Manufactured Home,Manufactured Home,1,0,70000,20,1.5,FICO,FICO,Black or African American,Black or African American,Male,Male,Male,Male,58,58,0,0,Mail,Lender,,,,,
2024,"Phoenix-Mesa-Scottsdale, AZ",AZ,031,48001000200,Purchase,Single-Family,American Indian or Alaska Native,White,Female,Approved,Home Purchase,550000,70,7.25,2.25,No HOPE Loan,588000,14000,5000,0,0,360,15,12,No,No,No,0,110000,Site-Built,Occasionally Occupied,Manufactured Home,Manufactured Home,1,0,80000,35,1.5,FICO,FICO,American Indian or Alaska Native,American Indian or Alaska Native,Female,Female,Female,Female,49,49,0,0,Online,Borrower,,,,,
2024,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,061,48001000200,Refinance,Single-Family,Hispanic or Latino,Asian,Male,Approved,Refinance,400000,80,7.5,2.5,No HOPE Loan,432000,10000,3000,0,0,360,12,12,Yes,Yes,Yes,0,160000,Site-Built,Occasionally Occupied,Manufactured Home,Manufactured Home,1,0,75000,25,1.5,FICO,FICO,Hispanic or Latino,Hispanic or Latino,Male,Male,Male,Male,64,64,0,0,In-Person,Borrower,,,,,
2024,"Dallas-Fort Worth-Arlington, TX",TX,061,48001000200,Purchase,Single-Family,White,White,Female,Approved,Home Purchase,700000,75,7.75,3.25,No HOPE Loan,714000,21000,6000,0,0,360,15,12,No,No,No,0,140000,Site-Built,Occasionally Occupied,Manufactured Home,Manufactured Home,1,0,95000,45,1.5,FICO,FICO,White,White,Female,Female,Female,Female,52,52,0,0,Mail,Lender,,,,,
2024,"San Jose-Sunnyvale-Santa Clara, CA",CA,081,48001000200,Refinance,Single-Family,Asian,Asian,Male,Approved,Refinance,380000,85,7.5,2.5,No HOPE Loan,408000,12000,4000,0,0,360,12,12,Yes,Yes,Yes,0,200000,Site-Built,Occasionally Occupied,Manufactured Home,Manufactured Home,1,0,85000,30,1.5,FICO,FICO,Asian,Asian,Male,Male,Male,Male,62,62,0,0,In-Person,Borrower,,,,,
2024,"Washington-Arlington-Alexandria, DC-VA-MD",DC,061,48001000200,Purchase,Single-Family,Black or African American,White,Female,Approved,Home Purchase,620000,70,7.25,2.25,No HOPE Loan,636000,16000,5000,0,0,360,15,12,No,No,No,0,130000,Site-Built,Occasionally Occupied,Manufactured Home,Manufactured Home,1,0,93000,38,1.5,FICO,FICO,Black or African American,Black or African American,Female,Female,Female,Female,59,59,0,0,Online,Borrower,,,,,
2024,"Atlanta-Sandy Springs-Roswell, GA",GA,013,48001000200,Refinance,Single-Family,White,Asian,Male,Approved,Refinance,510000,80,7.5,2.5,No HOPE Loan,546000,14000,4000,0,0,360,12,12,Yes,Yes,Yes,0,190000,Site-Built,Occasionally Occupied,Manufactured Home,Manufactured Home,1,0,78000,22,1.5,FICO,FICO,White,White,Male,Male,Male,Male,65,65,0,0,Mail,Lender,,,,,
2024,"San Diego-Chula Vista-Carlsbad, CA",CA,081,48001000200,Purchase,Single-Family,Hispanic or Latino,Asian,Female,Approved,Home Purchase,750000,75,7.75,3.25,No HOPE Loan,765000,23000,6000,0,0,360,15,12,No,No,No,0,150000,Site-Built,Occasionally Occupied,Manufactured Home,Manufactured Home,1,0,100000,48,1.5,FICO,FICO,Hispanic or Latino,Hispanic or Latino,Female,Female,Female,Female,50,50,0,0,In-Person,Borrower,,,,,
2024,"Miami-Fort Lauderdale-West Palm Beach, FL",FL,061,48001000200,Refinance,Single-Family,Asian,White,Male,Approved,Refinance,420000,80,7.5,2.5,No HOPE Loan,432000,10000,3000,0,0,360,12,12,Yes,Yes,Yes,0,220000,Site-Built,Occasionally Occupied,Manufactured Home,Manufactured Home,1,0,81000,28,1.5,FICO,FICO,Asian,Asian,Male,Male,Male,Male,66,66,0,0,Online,Borrower,,,,,
