data_year,agency_type_name,state_abbr,state_name,incident_date,adult_victim_count,juvenile_victim_count,total_offender_count,adult_offender_count,juvenile_offender_count,offender_race,offender_ethnicity,victim_count,offense_name,total_individual_victims,location_name,bias_desc,victim_types,multiple_offense,multiple_bias
1991,State Police,CA,California,1991-01-01,1,0,1,1,0,White,Non-Hispanic,1,Intimidation,1,Residence,Anti-White,Adult,No,No
1991,City Police,TX,Texas,1991-02-01,0,1,1,0,1,Black,Hispanic,1,Vandalism,1,Business,Anti-Black,Juvenile,Yes,No
1992,County Sheriff,FL,Florida,1992-03-01,1,0,2,1,1,Asian,Non-Hispanic,2,Simple Assault,2,Park,Anti-Asian,Adult,Yes,No
1992,City Police,NY,New York,1992-04-01,0,0,1,1,0,White,Non-Hispanic,1,Harassment,1,Residence,Anti-White,Adult,No,No
1993,State Police,IL,Illinois,1993-05-01,2,0,1,2,0,Black,Hispanic,2,Aggravated Assault,2,Business,Anti-Black,Adult,No,No
1993,City Police,OH,Ohio,1993-06-01,0,1,1,0,1,White,Non-Hispanic,1,Intimidation,1,Residence,Anti-White,Juvenile,Yes,No
1994,County Sheriff,GA,Georgia,1994-07-01,1,0,2,1,1,Asian,Non-Hispanic,2,Vandalism,2,Park,Anti-Asian,Adult,Yes,No
1994,City Police,MI,Michigan,1994-08-01,0,0,1,1,0,White,Non-Hispanic,1,Harassment,1,Residence,Anti-White,Adult,No,No
1995,State Police,NC,North Carolina,1995-09-01,2,0,1,2,0,Black,Hispanic,2,Simple Assault,2,Business,Anti-Black,Adult,No,No
1995,City Police,WI,Wisconsin,1995-10-01,0,1,1,0,1,White,Non-Hispanic,1,Intimidation,1,Residence,Anti-White,Juvenile,Yes,No
1996,County Sheriff,SC,South Carolina,1996-11-01,1,0,2,1,1,Asian,Non-Hispanic,2,Vandalism,2,Park,Anti-Asian,Adult,Yes,No
1996,City Police,TN,Tennessee,1996-12-01,0,0,1,1,0,White,Non-Hispanic,1,Harassment,1,Residence,Anti-White,Adult,No,No
1997,State Police,LA,Louisiana,1997-01-01,2,0,1,2,0,Black,Hispanic,2,Simple Assault,2,Business,Anti-Black,Adult,No,No
1997,City Police,KY,Kentucky,1997-02-01,0,1,1,0,1,White,Non-Hispanic,1,Intimidation,1,Residence,Anti-White,Juvenile,Yes,No
1998,County Sheriff,AL,Alabama,1998-03-01,1,0,2,1,1,Asian,Non-Hispanic,2,Vandalism,2,Park,Anti-Asian,Adult,Yes,No
1998,City Police,MS,Mississippi,1998-04-01,0,0,1,1,0,White,Non-Hispanic,1,Harassment,1,Residence,Anti-White,Adult,No,No
1999,State Police,OK,Oklahoma,1999-05-01,2,0,1,2,0,Black,Hispanic,2,Simple Assault,2,Business,Anti-Black,Adult,No,No
1999,City Police,IN,Indiana,1999-06-01,0,1,1,0,1,White,Non-Hispanic,1,Intimidation,1,Residence,Anti-White,Juvenile,Yes,No
2000,County Sheriff,AR,Arkansas,2000-07-01,1,0,2,1,1,Asian,Non-Hispanic,2,Vandalism,2,Park,Anti-Asian,Adult,Yes,No
2000,City Police,MO,Missouri,2000-08-01,0,0,1,1,0,White,Non-Hispanic,1,Harassment,1,Residence,Anti-White,Adult,No,No
2001,State Police,NV,Nevada,2001-09-01,2,0,1,2,0,Black,Hispanic,2,Simple Assault,2,Business,Anti-Black,Adult,No,No
2001,City Police,UT,Utah,2001-10-01,0,1,1,0,1,White,Non-Hispanic,1,Intimidation,1,Residence,Anti-White,Juvenile,Yes,No
